userID,itemID,age,sex,city,country,time,daytype,season,location,weather,social,endEmo,dominantEmo,mood,physical,decision,interaction,director,movieCountry,movieLanguage,movieYear,genre1,genre2,genre3,actor1,actor2,actor3,budget
23,14,33,1,20,2,3,2,2,1,1,1,2,2,2,1,1,1,234,36,9,2007,7,-1,-1,1303,1524,1656,9000000
21,5,28,1,10,3,2,2,2,1,1,2,2,2,2,2,2,2,775,37,9,1998,7,6,10,1636,1539,1402,90000000
21,6,28,1,10,3,4,2,2,1,1,2,2,2,1,1,2,1,33,37,9,2008,7,10,18,1373,1510,1691,24000000
22,13,28,1,20,2,3,2,3,2,2,3,2,3,1,1,1,1,590,37,9,2010,1,14,19,1382,57,1109,60000000
21,7,28,1,10,3,4,2,2,1,1,2,1,7,1,1,2,1,488,37,9,2003,3,10,18,98,385,1827,35000000
20,12,30,1,10,3,3,1,3,1,1,7,1,1,3,1,1,1,161,37,9,2003,10,-1,-1,482,1190,393,-1
21,15,28,1,10,3,3,1,2,1,5,1,7,5,1,1,2,2,195,37,9,1971,1,8,21,384,93,715,4000000
15,11,30,1,10,3,3,1,3,1,1,2,2,2,1,1,2,1,346,37,9,2010,7,18,18,862,61,1378,20000000
23,18,33,1,20,2,2,2,2,1,2,1,2,7,2,1,1,1,750,37,9,2010,1,3,21,1803,251,1376,82000000
26,17,-1,2,3,5,4,1,3,1,1,2,2,2,2,1,1,1,408,36,9,2010,1,7,8,190,558,1657,8000000
26,18,-1,2,3,5,4,1,3,1,2,2,2,2,2,1,1,1,750,37,9,2010,1,3,21,1803,251,1376,82000000
26,16,-1,2,3,5,3,1,3,1,1,2,7,7,2,1,1,1,618,37,9,2010,1,17,21,98,1181,328,110000000
27,19,25,1,10,3,2,1,2,1,1,2,7,7,2,1,2,1,670,20,14,2005,7,10,18,1635,869,1440,35000000
28,19,26,2,10,3,2,1,2,3,1,2,7,7,2,1,2,1,670,20,14,2005,7,10,18,1635,869,1440,35000000
29,20,30,1,20,2,4,1,3,1,5,1,7,7,1,1,1,1,681,13,9,2010,10,17,21,595,1542,1474,45000000
30,21,29,1,10,3,4,1,3,3,1,3,4,1,3,1,1,1,446,11,9,2009,10,14,-1,1958,316,1798,11000000
30,22,29,1,10,3,4,1,2,2,2,3,7,7,1,1,1,1,751,21,15,1991,18,-1,-1,379,739,1669,-1
31,3,30,2,20,2,2,1,2,1,2,1,7,7,3,2,1,1,246,37,9,2010,7,10,18,74,334,1910,30000000
31,9,30,2,20,2,4,2,2,1,2,1,1,2,1,1,2,1,571,37,9,1993,1,6,10,1877,931,701,33000000
33,5,26,2,10,3,2,2,2,1,1,2,7,7,1,1,2,2,775,37,9,1998,7,6,10,1636,1539,1402,90000000
33,6,26,2,10,3,3,2,2,1,1,2,2,2,1,1,2,1,33,37,9,2008,7,10,18,1373,1510,1691,24000000
34,4,26,1,20,2,3,1,2,1,3,5,4,7,1,2,2,1,438,37,9,2006,1,3,10,817,1763,1652,28000000
35,23,30,1,10,3,3,1,3,1,1,1,6,6,2,2,1,1,410,37,9,2010,1,7,-1,1954,1122,1665,10000000
35,24,30,1,10,3,4,1,3,1,1,1,2,4,1,2,1,1,808,37,9,2006,1,3,10,1126,1003,788,160000000
35,25,30,1,10,3,3,2,2,1,1,5,2,2,1,1,2,2,632,37,9,1990,1,8,21,251,1969,133,70000000
27,18,25,1,10,3,3,3,2,1,2,7,7,2,1,2,1,1,750,37,9,2010,1,3,21,1803,251,1376,82000000
27,26,25,1,10,3,4,3,2,1,2,7,2,4,1,2,1,1,199,36,9,2009,19,17,10,1679,1103,495,5000000
31,27,30,2,20,2,2,2,2,1,1,1,2,2,1,1,2,2,487,37,9,2004,7,18,-1,1020,1225,171,-1
31,28,30,2,20,2,2,2,2,1,2,1,2,2,1,1,2,2,222,37,9,1998,10,18,-1,1688,713,650,30000000
23,31,33,1,20,2,2,2,2,1,2,1,4,2,2,1,1,1,810,37,9,2008,10,18,-1,861,1519,1699,15000000
21,29,28,1,10,3,2,2,2,1,2,1,2,4,2,1,2,2,503,37,9,2003,1,7,8,1957,1277,994,130000000
23,32,33,1,20,2,3,2,2,1,1,1,5,7,2,1,1,1,225,37,9,2007,10,19,21,1957,59,314,150000000
21,30,28,1,10,3,3,2,2,1,5,1,1,6,1,1,2,2,165,37,9,1995,8,10,17,223,1404,699,30000000
28,33,26,2,10,3,2,2,2,3,2,2,7,7,2,1,1,1,400,37,9,2006,3,7,10,691,1878,9,8000000
26,34,-1,2,3,5,4,2,3,1,2,2,7,7,2,1,1,2,786,37,9,1991,1,7,8,251,416,429,-1
28,35,26,2,10,3,3,2,2,1,1,2,7,2,2,1,2,1,714,32,26,1980,7,-1,-1,1513,511,161,-1
35,30,30,1,10,3,3,2,3,1,2,1,1,3,2,1,2,2,165,37,9,1995,8,10,17,223,1404,699,30000000
35,36,30,1,10,3,4,2,3,1,2,1,4,3,2,1,2,2,529,37,9,2007,14,21,-1,951,1684,1286,22200000
33,37,26,2,10,3,3,1,2,2,2,6,2,2,2,1,2,1,206,32,23,1998,7,15,18,152,1766,606,-1
21,38,28,1,10,3,2,2,2,1,2,3,2,2,2,1,2,1,65,36,9,2010,9,7,-1,1833,154,1738,-1
37,39,26,1,10,3,4,2,3,1,2,1,4,2,3,1,1,1,756,36,9,2009,3,12,17,719,368,1914,18000000
38,30,25,2,10,3,3,2,2,1,3,1,7,6,2,1,1,2,165,37,9,1995,8,10,17,223,1404,699,30000000
27,33,25,1,10,3,2,2,2,1,2,2,7,7,2,1,2,1,400,37,9,2006,3,7,10,691,1878,9,8000000
27,40,25,1,10,3,3,2,2,1,2,2,2,2,1,1,1,1,198,37,9,2005,1,3,7,223,98,1923,110000000
27,41,25,1,10,3,1,3,2,3,1,1,2,4,1,1,1,1,96,37,9,2010,1,4,8,246,1424,900,-1
39,1,30,1,20,2,3,1,3,1,5,1,2,7,1,1,1,1,549,36,9,2010,1,3,13,494,1348,1467,10000000
39,2,30,1,20,2,4,1,3,1,5,1,2,2,1,1,1,1,776,23,9,2010,10,14,21,491,135,137,1500000
39,16,30,1,20,2,2,1,3,1,2,1,2,4,1,1,1,1,618,37,9,2010,1,17,21,98,1181,328,110000000
39,42,30,1,20,2,3,1,3,1,2,1,7,4,1,1,1,1,354,37,9,2010,1,3,21,1180,224,1552,110000000
40,16,-1,1,3,5,3,1,3,2,5,6,7,7,1,1,2,1,618,37,9,2010,1,17,21,98,1181,328,110000000
21,43,28,1,10,3,3,1,2,1,1,1,2,2,2,1,2,2,376,37,9,1994,1,7,8,526,1009,722,50000000
21,45,28,1,10,3,4,1,2,1,1,1,1,2,2,1,2,2,359,37,9,1993,8,10,21,1347,1624,155,25000000
31,44,30,2,20,2,3,2,2,1,1,1,2,2,1,1,2,1,374,36,9,2001,1,10,21,902,607,854,-1
20,29,30,1,10,3,3,2,3,1,2,7,7,7,1,1,2,2,503,37,9,2003,1,7,8,1957,1277,994,130000000
31,46,30,2,20,2,2,2,2,1,1,1,2,2,1,1,2,2,292,37,9,1999,7,10,18,230,62,370,35000000
25,9,27,1,20,2,4,1,2,1,2,1,1,1,1,1,2,1,571,37,9,1993,1,6,10,1877,931,701,33000000
25,47,27,1,20,2,2,2,2,1,1,2,4,3,3,1,1,1,135,37,9,2010,1,17,19,1169,1088,997,160000000
25,48,27,1,20,2,2,2,2,1,5,2,7,5,2,1,1,1,634,13,10,2010,1,8,21,869,1041,1600,20000000
